"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2093","test_login","tests","2026-03-12","passed","2026-03-12","TestLogin","login_test","",""
"","597","test_logout","tests","2026-03-12","failed","2026-03-12","TestLogin","login_test","",""
